Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DoubleDQN,1024,1,-2244191.868885805,4.26507133086202,354.3440277777778
DoubleDQN,1024,2,-2459389.1181286406,3.9596095287606365,381.17791666666665
DoubleDQN,1024,3,-2443291.416574816,4.10503594408413,380.3963888888889
DoubleDQN,1024,4,-2345717.9894187003,4.06369465178134,366.43111111111114
DoubleDQN,1024,5,-2330761.7165524727,4.150128999539967,365.21819444444446
DoubleDQN,1024,6,-2350821.5077834213,4.030256895773545,366.80555555555554
DoubleDQN,1024,7,-2299340.947357802,4.251486907162559,361.8677777777778
DoubleDQN,1024,8,-2337437.252041796,4.292552121361023,367.56958333333336
DoubleDQN,1024,9,-2490074.044700042,4.049110551463831,386.33472222222224
DoubleDQN,1024,10,-2220311.310205103,4.266620757266287,351.04277777777776
DoubleDQN,1024,11,-2522873.1810837793,4.181191993012624,392.2109722222222
DoubleDQN,1024,12,-2755162.1105137384,3.920040188258866,421.8618055555556
DoubleDQN,1024,13,-2340073.388828716,4.221925218847001,367.2294444444444
DoubleDQN,1024,14,-2701768.640324708,4.157018948845039,416.81583333333333
DoubleDQN,1024,15,-2157356.806848515,4.108738854364752,340.72027777777777
DoubleDQN,1024,16,-2520849.8802194963,3.95829338822919,389.7009722222222
DoubleDQN,1024,17,-2653754.8277442227,4.045724674854293,409.03430555555553
DoubleDQN,1024,18,-2207442.3554225517,4.212300682481221,348.71222222222224
DoubleDQN,1024,19,-2387415.825484084,4.106794152521878,372.6534722222222
DoubleDQN,1024,20,-2523018.865634209,4.05950192698306,391.01430555555555
DoubleDQN,1024,21,-2418938.8099807887,4.245141592842836,378.41513888888886
DoubleDQN,1024,22,-2572788.7892176206,3.9620724315460594,396.9525
DoubleDQN,1024,23,-2449292.0976839876,4.0911375926287485,381.0908333333333
DoubleDQN,1024,24,-2291010.4646406295,4.121785275566167,359.41375
DoubleDQN,1024,25,-2113374.179522744,4.136817011635014,334.8923611111111
DoubleDQN,1024,26,-2409289.3684364343,4.056203276271891,375.18555555555554
DoubleDQN,1024,27,-2571226.224141032,4.053149725613483,397.64625
DoubleDQN,1024,28,-2488953.7141247494,3.947656805751639,385.1645833333333
DoubleDQN,1024,29,-2638815.648367916,4.105477168916787,407.55694444444447
DoubleDQN,1024,30,-2596267.928496425,3.9770982750564032,400.36375
DoubleDQN,1024,31,-2508607.41808785,4.022355363972708,388.64125
DoubleDQN,1024,32,-2418381.374412164,4.102383751050404,376.91013888888887
DoubleDQN,1024,33,-2508085.5880515096,4.0052280034380585,388.3975
DoubleDQN,1024,34,-2379191.093297353,4.106693211085255,371.5101388888889
DoubleDQN,1024,35,-2351192.2605046253,4.046774220511847,367.02222222222224
DoubleDQN,1024,36,-2478564.7030129186,4.142004187992598,385.66513888888886
DoubleDQN,1024,37,-2305820.3966832724,4.017355660542402,360.4263888888889
DoubleDQN,1024,38,-1942896.1345942942,4.347442641270746,313.3211111111111
DoubleDQN,1024,39,-1777018.4706758806,4.518062976778161,291.98875
DoubleDQN,1024,40,-2349202.0786517113,4.13955452588308,367.6736111111111
DoubleDQN,1024,41,-1913658.0033107374,4.307847240756043,308.8643055555556
DoubleDQN,1024,42,-1740358.1484257008,4.396970227765939,285.68611111111113
DoubleDQN,1024,43,-1862482.7759895227,4.336155953884225,302.0397222222222
DoubleDQN,1024,44,-1979187.7850986633,4.298864160834629,317.87583333333333
DoubleDQN,1024,45,-2599879.175486802,3.8763448409805514,399.85777777777776
DoubleDQN,1024,46,-2662298.266565149,3.952843579187316,409.2920833333333
DoubleDQN,1024,47,-2430411.899322502,4.1453625711266175,379.0108333333333
DoubleDQN,1024,48,-2310256.8381801676,4.138307865475839,362.25208333333336
DoubleDQN,1024,49,-2695528.227539259,4.332233018983873,417.70125
DoubleDQN,1024,50,-2540461.2154074106,3.9820665119973753,392.6625
DoubleDQN,1024,51,-2670906.5177532067,3.824728975583492,409.20652777777775
DoubleDQN,1024,52,-2344959.99554173,4.023264010035374,365.9215277777778
DoubleDQN,1024,53,-2379318.339321337,3.9856759023658515,370.3176388888889
DoubleDQN,1024,54,-2593055.033053022,4.038027379078134,400.52680555555554
DoubleDQN,1024,55,-2717360.870799881,4.007099077139418,417.4822222222222
DoubleDQN,1024,56,-2414999.794435513,4.134752917244978,376.76416666666665
DoubleDQN,1024,57,-1651986.0986171716,4.444151475179184,273.88402777777776
DoubleDQN,1024,58,-1859988.52341666,4.268590016013691,301.0176388888889
DoubleDQN,1024,59,-1700600.97429418,4.373292089907613,279.9275
DoubleDQN,1024,60,-2486235.600700277,4.113713940719287,386.4476388888889
DoubleDQN,1024,61,-2494529.768673241,3.980711605544589,386.26958333333334
DoubleDQN,1024,62,-2539659.3483673297,4.278800784919913,395.5184722222222
DoubleDQN,1024,63,-2470438.671672624,4.014893508089929,383.2654166666667
DoubleDQN,1024,64,-2682346.411466651,4.146952682209389,414.0176388888889
DoubleDQN,1024,65,-2511968.6705818954,3.9964074123562,388.8486111111111
DoubleDQN,1024,66,-2665326.6748318467,3.9130740184958523,409.315
DoubleDQN,1024,67,-2550052.2338448986,3.9718856998504926,393.8927777777778
DoubleDQN,1024,68,-1833321.6153063045,4.385491521173155,298.48291666666665
DoubleDQN,1024,69,-1408270.1151814829,4.61949847106309,241.78805555555556
DoubleDQN,1024,70,-1684122.186131321,4.5406780406619465,279.3126388888889
DoubleDQN,1024,71,-1554831.5941103352,4.4872557053319415,260.82138888888886
DoubleDQN,1024,72,-1336712.0718067812,4.720485186557688,232.85930555555555
DoubleDQN,1024,73,-2517487.264868608,4.110899161543186,390.76
DoubleDQN,1024,74,-2493119.533712057,4.179937095853577,388.06597222222223
DoubleDQN,1024,75,-2383233.635139498,4.09372735082538,371.94194444444446
DoubleDQN,1024,76,-2556587.708846431,3.975545769078744,394.83708333333334
DoubleDQN,1024,77,-2688417.317656783,3.915176201681347,412.54305555555555
DoubleDQN,1024,78,-2684233.3040818255,3.9358569457183092,412.16875
DoubleDQN,1024,79,-2365497.7749808873,4.148989299473047,370.03125
DoubleDQN,1024,80,-2606027.983800359,3.9595975048248566,401.5443055555556
DoubleDQN,1024,81,-2589622.4325698838,4.076369053457515,400.43347222222224
DoubleDQN,1024,82,-2497610.61097304,4.040491574590521,387.29527777777776
DoubleDQN,1024,83,-2556427.606356179,4.057713861374907,395.63652777777776
DoubleDQN,1024,84,-1479466.8942621301,4.564751538950511,251.12902777777776
DoubleDQN,1024,85,-1441825.538902208,4.616867586009265,246.42222222222222
DoubleDQN,1024,86,-1577647.802316269,4.49189170306135,264.0366666666667
DoubleDQN,1024,87,-1519219.7476634446,4.503156350933031,256.03430555555553
DoubleDQN,1024,88,-1289529.9649574521,4.712056115285013,226.22194444444443
DoubleDQN,1024,89,-1521547.6357004766,4.622894019633616,257.555
DoubleDQN,1024,90,-1208400.9320150146,4.742820462909212,215.26166666666666
DoubleDQN,1024,91,-2736200.4230684447,3.907021960401023,419.09805555555556
DoubleDQN,1024,92,-2470242.827135397,4.217474689038694,385.26402777777776
DoubleDQN,1024,93,-2504357.5643734974,4.054103332955021,388.36847222222224
DoubleDQN,1024,94,-2773899.935484895,3.8562370640620864,423.82625
DoubleDQN,1024,95,-2682888.07075179,3.8512768511166513,411.1361111111111
DoubleDQN,1024,96,-2633520.7425110443,4.363295313213777,409.39972222222224
DoubleDQN,1024,97,-2591585.7693503504,4.068086598234541,400.62333333333333
DoubleDQN,1024,98,-2387504.8046427704,4.0240027723680045,371.8379166666667
DoubleDQN,1024,99,-2600877.2991927965,4.017232014830035,401.40527777777777
DoubleDQN,1024,100,-2742681.2970669623,3.905732042286544,419.98527777777775
DoubleDQN,1024,101,-2491504.8749223305,4.064460131157605,386.68694444444446
DoubleDQN,1024,102,-2703320.2603341816,4.021718667111585,415.67833333333334
DoubleDQN,1024,103,-2551111.0831543603,4.3751239153473716,398.0722222222222
DoubleDQN,1024,104,-2695596.624501877,4.093394165828802,415.3223611111111
DoubleDQN,1024,105,-2591156.4091937263,4.088411045138267,400.76694444444445
DoubleDQN,1024,106,-2721323.0559290447,3.8694992793627145,416.6565277777778
DoubleDQN,1024,107,-1433988.795861512,4.574364016443906,244.90875
DoubleDQN,1024,108,-1280138.2582327565,4.722815930482464,225.02513888888888
DoubleDQN,1024,109,-1538280.9010574732,4.57575144412029,259.40763888888887
DoubleDQN,1024,110,-1355713.2733040645,4.658357386785198,234.87708333333333
