Episode,Total_Waiting_Time,Total_Avg_Waiting_Time,Total_Avg_Speed,Total_Reward
1,1206041.0,167.50569444444446,10.726629946398443,-5556.758969163958
2,996575.0,138.41319444444446,10.769486825567434,22928.981296766644
3,1172514.0,162.84916666666666,10.751942359611116,-146.55869082155803
4,1116602.0,155.0836111111111,10.785030214502656,8689.140904053122
5,1258519.0,174.79430555555555,10.765650341551837,-10263.528575582646
6,1518091.0,210.84597222222223,10.72960144372881,-44560.56475490745
7,1290290.0,179.20694444444445,10.738862303519074,-15275.322618652068
8,1409639.0,195.78319444444443,10.719503971116543,-31531.392488135178
9,1349487.0,187.42875,10.734419017161036,-23106.997621911578
10,1178221.0,163.64180555555555,10.74468296107549,-1192.602032019219
11,991220.0,137.66944444444445,10.777669202517771,24065.561847860965
12,1195834.0,166.08805555555554,10.76135659512357,-2584.226045026406
13,1307800.0,181.63888888888889,10.769085416726815,-16173.844486212793
14,1255449.0,174.36791666666667,10.754724617617434,-10391.597396005125
15,924662.0,128.42527777777778,10.833261099722261,35468.50944675814
16,1016641.0,141.2001388888889,10.805602311163158,22400.002337411483
17,630644.0,87.58944444444444,10.901556807309216,76363.64537087893
18,471574.0,65.49638888888889,10.940213313587117,98355.38264599653
19,515396.0,71.58277777777778,10.914901086235151,91112.04865441156
20,517349.0,71.85402777777777,10.920533156156107,91323.62674093636
21,747179.0,103.77486111111111,10.856430555357603,59003.293093865606
22,742253.0,103.09069444444444,10.841428870950152,58901.70261863316
23,836933.0,116.24069444444444,10.837851122676001,46888.13205196595
24,781067.0,108.48152777777777,10.836211123419949,53698.90483112139
25,676896.0,94.01333333333334,10.880891292925883,69348.34831686981
26,397690.0,55.234722222222224,10.987200072233469,110254.29172088906
27,304820.0,42.33611111111111,10.982502273392816,121673.66235103013
28,297684.0,41.345,11.01428075922735,124429.12489626122
29,408644.0,56.75611111111111,10.958930465592484,107312.0701341789
30,631464.0,87.70333333333333,10.913209673461752,76862.03722092447
31,849863.0,118.03652777777778,10.84300456712585,45590.66423304955
32,888827.0,123.44819444444444,10.826383176330049,39810.759168747405
33,932096.0,129.45777777777778,10.840735192306202,35228.09496684467
34,1028248.0,142.81222222222223,10.837526704687708,22812.505716399075
35,853323.0,118.51708333333333,10.875473641773231,46861.94767069479
36,898137.0,124.74125,10.860130079100381,40613.41460356329
37,549240.0,76.28333333333333,10.950590177342969,89427.25588907131
38,416465.0,57.84236111111111,10.985289857289493,108006.27396072504
39,272526.0,37.850833333333334,11.021425098912347,127916.21524336192
40,406946.0,56.52027777777778,10.991320270881355,109544.20268091596
41,576178.0,80.02472222222222,10.938044321460318,85373.84490472448
42,602222.0,83.64194444444445,10.941630181065632,82177.39662786477
43,624519.0,86.73875,10.952723624915269,79911.19882411041
44,696301.0,96.70847222222223,10.923709218479045,69478.75668892608
45,615377.0,85.46902777777778,10.943693097950908,80546.67751306442
46,612069.0,85.00958333333334,10.925949915797561,80040.03295746107
47,534984.0,74.30333333333333,10.945173805353404,90668.8300742151
48,339671.0,47.17652777777778,10.993620581107583,118012.56663265298
49,184327.0,25.60097222222222,11.0731140379037,141910.40638599277
50,223742.0,31.075277777777778,11.056444827565608,136118.9636357374
51,314515.0,43.68263888888889,11.024308952434925,122959.75944043104
52,284385.0,39.49791666666667,11.02721244658338,126907.04643522827
53,248504.0,34.51444444444444,11.037966471322115,131959.2928098951
54,173909.0,24.154027777777777,11.057235023848168,142412.2203450341
55,148114.0,20.57138888888889,11.079841732279183,146906.58593517932
56,157322.0,21.850277777777777,11.082805642426516,145838.82685025022
57,156013.0,21.66847222222222,11.073346226116643,145612.64449824727
58,165507.0,22.987083333333334,11.062252403361159,143837.24349420657
59,139051.0,19.312638888888888,11.097576569100859,149021.63142736396
60,138669.0,19.25958333333333,11.086792744363661,148523.2508223565
61,151093.0,20.98513888888889,11.07433065176644,146309.3697387819
62,177923.0,24.71152777777778,11.066593712413828,142475.69444195027
63,176259.0,24.480416666666667,11.057515330480282,142150.8438168248
64,151299.0,21.01375,11.070872057957262,146015.34214915842
65,130514.0,18.126944444444444,11.089061803458106,149732.4252985113
66,163438.0,22.69972222222222,11.076682093468088,144767.45446746622
67,171310.0,23.793055555555554,11.064489748018413,143197.90439639718
68,266399.0,36.99986111111111,11.041494083142034,129976.57171578993
69,214065.0,29.73125,11.048195910912268,136832.15170119048
70,187860.0,26.091666666666665,11.071975260331651,141426.29152421796
71,246731.0,34.26819444444445,11.04516352954678,132465.40387149254
72,197508.0,27.43166666666667,11.061356065721025,139630.06364178102
73,125218.0,17.39138888888889,11.096478049783634,150708.53887077965
74,113876.0,15.81611111111111,11.097351738805624,152313.4729277559
75,118155.0,16.410416666666666,11.101751774496014,151931.90950791092
76,145263.0,20.175416666666667,11.094668082834177,148044.150064825
77,144272.0,20.037777777777777,11.07704447137568,147279.7824515245
78,160058.0,22.23027777777778,11.069060051535738,145032.2468785677
79,141686.0,19.67861111111111,11.09047524579663,148280.76142970385
80,164663.0,22.86986111111111,11.078629508007626,144743.60139792704
81,171119.0,23.766527777777778,11.068821081214528,143409.8587400939
82,181595.0,25.221527777777776,11.0578150744028,141516.51902943113
83,218654.0,30.36861111111111,11.042331298040931,135943.41963211197
84,269304.0,37.403333333333336,11.023562398263142,128667.54515801795
85,301406.0,41.86194444444445,11.033381448006645,125098.71884654094
86,322213.0,44.751805555555556,11.021122921621142,121809.64451777698
87,300972.0,41.80166666666667,11.032576037215854,125071.26702800422
88,338886.0,47.0675,11.021287075490212,119746.59936150789
89,393383.0,54.63652777777778,11.012205548484634,112343.1833961385
90,336832.0,46.782222222222224,11.037014838643742,120787.66115792409
91,421683.0,58.567083333333336,10.998550733812436,108094.22887835407
92,404672.0,56.20444444444445,11.02599755467629,111609.48651110103
93,444123.0,61.68375,11.000290482987184,105298.7618920892
94,403203.0,56.000416666666666,11.008524125107432,110891.06525835441
95,394627.0,54.809305555555554,11.004761966332058,111817.10476293294
96,298281.0,41.42791666666667,11.050403322838347,126282.2624799916
97,354363.0,49.217083333333335,11.030207476959076,118225.46880741495
98,361103.0,50.153194444444445,11.01232526661774,116394.39135344618
99,301031.0,41.80986111111111,11.022832269587305,124537.14575498707
100,283603.0,39.38930555555555,11.046255921996096,127866.76105553519
101,295795.0,41.08263888888889,11.039607569407426,126174.33759421289
102,378258.0,52.535833333333336,11.023670550407424,114773.0473959669
103,410661.0,57.03625,11.010721083842633,110061.64429083999
104,415967.0,57.77319444444444,11.019598247693043,109895.60852888794
