Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DQNPER,512,1,-2248177.213780625,4.177260982946852,354.01944444444445
DQNPER,512,2,-2512297.5729804332,4.009978211905446,389.03
DQNPER,512,3,-2528793.6691414765,4.054962989102232,391.7709722222222
DQNPER,512,4,-2454410.2697585276,4.14669076119403,382.3572222222222
DQNPER,512,5,-2463817.9258942385,4.100153869596748,383.1984722222222
DQNPER,512,6,-2566891.064872622,4.250263054201313,399.0152777777778
DQNPER,512,7,-2423817.4873362468,4.048298847547416,377.12430555555557
DQNPER,512,8,-2302339.294073891,4.203370979262019,361.80305555555555
DQNPER,512,9,-2660131.060809793,3.926804767748225,408.73069444444445
DQNPER,512,10,-2408302.651570289,4.113004901520388,375.6165277777778
DQNPER,512,11,-2540178.988960757,3.9127502109014904,391.9301388888889
DQNPER,512,12,-2442160.2604078744,4.024260331802264,379.4315277777778
DQNPER,512,13,-2115770.076279462,4.14686011318271,335.3255555555556
DQNPER,512,14,-2394226.4278711267,4.092355229162391,373.455
DQNPER,512,15,-2435536.118331107,4.022276194288268,378.4916666666667
DQNPER,512,16,-2519376.9759500865,4.1995142872290145,391.9086111111111
DQNPER,512,17,-2428863.527871099,4.036367728842077,377.7058333333333
DQNPER,512,18,-2562148.8829144235,4.105237799247737,396.9063888888889
DQNPER,512,19,-2435119.88940108,4.006168261764169,378.2727777777778
DQNPER,512,20,-2409018.3985846345,3.9934389672017057,374.5202777777778
DQNPER,512,21,-2588045.127208016,4.120039962003028,400.6511111111111
DQNPER,512,22,-2381539.134074693,4.067789865303662,371.4472222222222
DQNPER,512,23,-2433980.9062026585,3.981529139164252,377.86819444444444
DQNPER,512,24,-2510316.035852679,4.192402343999456,390.57902777777775
DQNPER,512,25,-2540828.044436855,4.052207776985675,393.4148611111111
DQNPER,512,26,-2420533.5013439734,4.169993100689807,377.8851388888889
DQNPER,512,27,-2508962.519110937,3.984340071232775,388.31041666666664
DQNPER,512,28,-2242468.8377892594,4.159516204752227,353.0491666666667
DQNPER,512,29,-2409915.9295464694,4.197487154162958,376.68541666666664
DQNPER,512,30,-2419179.456304882,4.106452057011763,377.06166666666667
DQNPER,512,31,-2385277.492289259,3.9975765551989455,371.26430555555555
DQNPER,512,32,-2355014.146622678,4.151525803117183,368.60055555555556
DQNPER,512,33,-2481336.2672300516,4.156496353253557,386.195
DQNPER,512,34,-2347609.005315928,4.067486097433287,366.7316666666667
DQNPER,512,35,-2643006.5743003585,4.038130973642696,407.46555555555557
DQNPER,512,36,-2606010.6323935124,3.9704912751249437,401.6508333333333
DQNPER,512,37,-2435927.014894497,3.9457498506328457,377.78069444444446
DQNPER,512,38,-2507344.6666006064,4.136560249361641,389.60791666666665
DQNPER,512,39,-2390505.675976698,4.032532337719426,372.34
DQNPER,512,40,-2352116.343126329,4.131800852263585,368.00083333333333
DQNPER,512,41,-2533933.3206911646,4.002134494810371,391.95652777777775
DQNPER,512,42,-2488180.411312386,4.0944665709815675,386.5252777777778
DQNPER,512,43,-2574684.843194055,4.289905022714771,400.4941666666667
DQNPER,512,44,-2493818.96231872,4.116695030790866,387.53069444444446
DQNPER,512,45,-2436971.1141064423,4.112387366197718,379.59208333333333
DQNPER,512,46,-2408342.7450483926,4.159586936328792,376.0879166666667
DQNPER,512,47,-2383393.591487477,4.104630734965824,372.0731944444444
DQNPER,512,48,-2468748.6067735506,4.043172189104306,383.31347222222223
DQNPER,512,49,-2533253.652578988,4.101477109833938,392.85555555555555
DQNPER,512,50,-2736015.9706478366,3.8175560185211093,418.1777777777778
DQNPER,512,51,-2593226.8626377024,4.071085302408104,400.88125
DQNPER,512,52,-2522056.7374674883,3.992225927411234,390.2079166666667
DQNPER,512,53,-2530513.272951802,4.093926826711345,392.39944444444444
DQNPER,512,54,-2703978.9909910313,3.97604185141639,415.31305555555554
DQNPER,512,55,-2443875.5340291075,4.097589865786654,380.40305555555557
DQNPER,512,56,-2530641.743319844,4.070073069909619,392.17875
DQNPER,512,57,-2613848.1910582795,4.130858521226699,404.34305555555557
