Episode,Total_Waiting_Time,Total_Avg_Waiting_Time,Total_Avg_Speed,Total_Reward
1,1206041.0,167.50569444444446,10.726629946398443,-71521
2,1044279.0,145.03875,10.746660704010615,-64895
3,1142536.0,158.68555555555557,10.75547987081195,-68622
4,1208562.0,167.85583333333332,10.73754726815183,-69585
5,1514580.0,210.35833333333332,10.706965638428551,-80245
6,1156602.0,160.63916666666665,10.750472905509758,-68704
7,1062741.0,147.60291666666666,10.770378576449824,-65712
8,995178.0,138.21916666666667,10.774579201212497,-62044
9,830222.0,115.3086111111111,10.831720061151012,-55189
10,770416.0,107.00222222222222,10.867419287407179,-50366
11,961378.0,133.5247222222222,10.834725346724277,-57271
12,845180.0,117.3861111111111,10.847815130340198,-53781
13,903720.0,125.51666666666667,10.832620630587245,-56361
14,1087547.0,151.04819444444445,10.799268629264146,-62387
15,1003950.0,139.4375,10.851353738622537,-56473
16,1041364.0,144.6338888888889,10.855708868869717,-57844
17,1030442.0,143.11694444444444,10.846096930982817,-57605
18,947237.0,131.56069444444444,10.852332334270104,-55105
19,910630.0,126.47638888888889,10.857424977931919,-53563
20,1008793.0,140.11013888888888,10.836340064051866,-56625
21,1097348.0,152.40944444444443,10.817362344718774,-62833
22,1063443.0,147.70041666666665,10.815174187512657,-60614
23,1136721.0,157.87791666666666,10.797503313046157,-63155
24,1104914.0,153.46027777777778,10.825966533052314,-59347
25,1087242.0,151.00583333333333,10.843026732958315,-58387
26,1101932.0,153.04611111111112,10.84597201120971,-58422
27,1117181.0,155.1640277777778,10.826518345507003,-59980
28,1148142.0,159.46416666666667,10.811255478686896,-61253
29,1056424.0,146.72555555555556,10.84409145524041,-56963
30,1041966.0,144.7175,10.843098173926208,-56025
31,1052934.0,146.24083333333334,10.849679578813824,-58355
32,1040643.0,144.53375,10.84952144453882,-57384
33,1050648.0,145.92333333333335,10.843354916415786,-56893
34,968432.0,134.50444444444443,10.873857252559326,-53557
35,968462.0,134.50861111111112,10.874570767102604,-52671
36,965492.0,134.0961111111111,10.84333706140949,-55246
37,910819.0,126.5026388888889,10.87290619638141,-52128
38,922189.0,128.08180555555555,10.863933149455645,-53260
39,807733.0,112.18513888888889,10.8904411916059,-49838
40,819004.0,113.75055555555555,10.88584036633747,-48472
41,928317.0,128.93291666666667,10.871010068801588,-51725
42,899891.0,124.98486111111112,10.88038615226133,-51868
43,949936.0,131.93555555555557,10.87237745708155,-53315
44,998236.0,138.64388888888888,10.855554696271957,-54548
45,909756.0,126.355,10.879121828752767,-52402
46,922300.0,128.09722222222223,10.869541827932402,-52513
47,878461.0,122.00847222222222,10.880908259896003,-51067
48,831859.0,115.53597222222223,10.888042483375651,-48749
49,802859.0,111.50819444444444,10.889634794190378,-48375
50,842923.0,117.07263888888889,10.892490814456561,-48634
51,901699.0,125.23597222222222,10.871563574040284,-50067
52,832683.0,115.65041666666667,10.901470328562844,-47634
53,904807.0,125.66763888888889,10.88422878982225,-51345
54,904102.0,125.56972222222223,10.860766869546536,-51970
55,905800.0,125.80555555555556,10.873946321810768,-52276
56,959165.0,133.2173611111111,10.87065308848896,-54024
57,876967.0,121.80097222222223,10.895318898195747,-50915
58,978340.0,135.88055555555556,10.883586558931738,-53941
59,1030239.0,143.08875,10.862053682726156,-55459
60,979624.0,136.0588888888889,10.862626914308322,-53921
61,942156.0,130.855,10.878183676754514,-51964
62,949023.0,131.80875,10.874081386795405,-52515
63,1002622.0,139.25305555555556,10.858893936934097,-54894
64,1036763.0,143.9948611111111,10.85767106131073,-55190
65,1015497.0,141.04125,10.879857781003402,-55224
66,969733.0,134.6851388888889,10.873530576734446,-54391
67,894672.0,124.26,10.873776442602553,-51628
68,917893.0,127.48513888888888,10.86411635161716,-52468
69,933266.0,129.62027777777777,10.875035588046982,-51737
70,947564.0,131.60611111111112,10.872446832297934,-52247
71,945437.0,131.31069444444444,10.872102308274426,-51869
72,928778.0,128.99694444444444,10.878764517497926,-51771
73,807818.0,112.19694444444444,10.894300212870935,-48136
74,842107.0,116.95930555555556,10.889316547100114,-49091
75,884306.0,122.82027777777778,10.888557588463035,-50010
76,869158.0,120.71638888888889,10.892075338911841,-49064
77,916348.0,127.27055555555556,10.870563354337987,-51041
78,939311.0,130.4598611111111,10.873024218158402,-52422
79,947955.0,131.66041666666666,10.872853689070139,-52276
80,915645.0,127.17291666666667,10.881877868307097,-50724
81,923134.0,128.21305555555554,10.88078080444098,-51564
82,942549.0,130.90958333333333,10.875740108834679,-51783
83,894594.0,124.24916666666667,10.883591842630842,-50001
84,945074.0,131.2602777777778,10.866261456559673,-52961
85,839086.0,116.53972222222222,10.901740084377305,-48719
86,869531.0,120.76819444444445,10.869769541840762,-50226
87,902073.0,125.28791666666666,10.88513118682966,-51460
88,888775.0,123.44097222222223,10.881501624297538,-51694
89,964296.0,133.93,10.869976049938606,-53750
90,945806.0,131.36194444444445,10.862476388660319,-52937
91,843861.0,117.20291666666667,10.894247784156686,-48028
92,746818.0,103.72472222222223,10.917728043972353,-45444
93,785025.0,109.03125,10.8825978651112,-49197
94,899562.0,124.93916666666667,10.84252163251619,-55398
95,1021654.0,141.89638888888888,10.833361548743396,-59878
96,963199.0,133.7776388888889,10.841022534594867,-57638
97,842287.0,116.98430555555555,10.884809560435404,-50852
98,863260.0,119.89722222222223,10.891200360131291,-50428
99,843190.0,117.10972222222222,10.890491602998532,-50425
100,927681.0,128.84458333333333,10.872360855354852,-54710
101,895863.0,124.42541666666666,10.86562334825173,-54148
102,872514.0,121.1825,10.857883602866544,-53451
103,1036825.0,144.00347222222223,10.839611462028403,-59410
104,1052446.0,146.17305555555555,10.847053005700467,-58315
105,979547.0,136.04819444444445,10.88225878339888,-53196
106,926876.0,128.73277777777778,10.89767332707247,-52736
107,900230.0,125.03194444444445,10.88683663989949,-52342
108,828587.0,115.08152777777778,10.888750344529502,-50836
109,814280.0,113.09444444444445,10.884361763531533,-51121
110,902001.0,125.27791666666667,10.847697625572218,-55783
111,1026217.0,142.5301388888889,10.833009716426629,-59060
112,1075190.0,149.33194444444445,10.851528181514587,-58753
113,874642.0,121.47805555555556,10.896396535129442,-51348
114,788032.0,109.44888888888889,10.897067697565102,-48720
115,665302.0,92.40305555555555,10.940098961481894,-42728
116,706504.0,98.12555555555555,10.926178386461654,-44586
117,697530.0,96.87916666666666,10.916908694371244,-45573
118,775617.0,107.72458333333333,10.899154443420022,-48566
119,743774.0,103.30194444444444,10.925013146994607,-46329
120,850741.0,118.15847222222222,10.890821466367083,-49854
121,825738.0,114.68583333333333,10.900215490607119,-48855
122,762395.0,105.88819444444445,10.923582568794496,-46315
123,834469.0,115.89847222222222,10.897961687512042,-50157
