Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DoubleDQN,128,1,-2453541.275166089,4.050399016570771,381.2736111111111
DoubleDQN,128,2,-2540321.9175289217,4.08311231898121,393.6536111111111
DoubleDQN,128,3,-2585027.035995337,3.809680110552472,397.12833333333333
DoubleDQN,128,4,-2440079.7613172536,4.0524200419571965,379.4241666666667
DoubleDQN,128,5,-2393967.3462453694,4.1618008090279135,374.11347222222224
DoubleDQN,128,6,-2406978.0900634425,4.171859923881946,376.0211111111111
DoubleDQN,128,7,-2329260.51414514,4.161854033380181,365.12694444444446
DoubleDQN,128,8,-2445670.2689598845,3.9814546571466347,379.49097222222224
DoubleDQN,128,9,-2417606.9694225774,4.234222711990749,378.12097222222224
DoubleDQN,128,10,-2504961.1222246466,4.061887253526718,388.53013888888887
DoubleDQN,128,11,-2342255.7118488224,4.109504063547717,366.40833333333336
DoubleDQN,128,12,-2474134.1209246204,4.513276171576453,388.7625
DoubleDQN,128,13,-2589341.672508525,3.9818101625015823,399.4488888888889
DoubleDQN,128,14,-2424440.896372366,4.072029277937073,377.4481944444444
DoubleDQN,128,15,-2340503.5195484348,4.115409512301814,366.2240277777778
DoubleDQN,128,16,-2485061.743842109,4.023767506792156,385.3851388888889
DoubleDQN,128,17,-2341055.2212112113,4.107191433275194,366.2184722222222
DoubleDQN,128,18,-2308579.7285553026,4.1797677210772,362.43375
DoubleDQN,128,19,-2331537.8373041777,4.4103217734220035,367.92791666666665
DoubleDQN,128,20,-2514480.7157843746,4.1455873446957,390.68930555555556
DoubleDQN,128,21,-2190414.520998069,4.149312270401352,345.71736111111113
DoubleDQN,128,22,-2488774.724490901,3.939128884755251,385.05444444444447
DoubleDQN,128,23,-2509398.844252885,3.9744883333748633,388.2725
DoubleDQN,128,24,-2489925.367214813,3.975508846970116,385.5780555555556
DoubleDQN,128,25,-2358809.2421593294,4.099052253318959,368.60291666666666
DoubleDQN,128,26,-2253795.6458140095,4.232379983113429,355.3509722222222
DoubleDQN,128,27,-2563703.2226949017,4.004969188899925,396.1195833333333
DoubleDQN,128,28,-2556542.018055299,4.054833142956944,395.62361111111113
DoubleDQN,128,29,-2719966.7807716783,4.023141994552386,418.00458333333336
DoubleDQN,128,30,-2443748.386968468,3.90311968244752,378.44069444444443
DoubleDQN,128,31,-2245872.0722453636,4.15838794769582,353.5105555555556
DoubleDQN,128,32,-2434013.0655009714,4.10140193034785,379.07138888888886
DoubleDQN,128,33,-2277729.00723376,4.0950694045878695,357.3019444444444
DoubleDQN,128,34,-2540705.9632664407,4.275514466421102,395.6309722222222
DoubleDQN,128,35,-2568143.126915244,3.8894010722787846,395.5805555555556
DoubleDQN,128,36,-2427952.2882277765,4.1356627255954095,378.5722222222222
DoubleDQN,128,37,-2142197.2534539863,4.28798265550257,340.40722222222223
DoubleDQN,128,38,-2624169.512896621,3.901867932784812,403.4866666666667
DoubleDQN,128,39,-2415895.293397766,4.00677376239573,375.60875
DoubleDQN,128,40,-2472661.7224966683,4.030698358525312,383.7322222222222
DoubleDQN,128,41,-2546589.0259903553,3.8760830288513075,392.45375
DoubleDQN,128,42,-2411655.6042575925,4.164186114744604,376.5940277777778
DoubleDQN,128,43,-2201872.66803618,4.142740783133214,347.24305555555554
DoubleDQN,128,44,-2695837.9468715955,3.936153574344705,413.7834722222222
DoubleDQN,128,45,-2462246.608757434,3.9766860477612602,381.74555555555554
DoubleDQN,128,46,-2491026.864720172,4.178293609228399,387.75888888888886
DoubleDQN,128,47,-2458634.6673651533,4.00839356762085,381.56097222222223
DoubleDQN,128,48,-2621548.160659169,3.9117339379964426,403.22125
DoubleDQN,128,49,-2632486.002606454,3.9374028003443113,404.9970833333333
DoubleDQN,128,50,-2487742.2215059767,4.009510871461265,385.6148611111111
DoubleDQN,128,51,-2543825.45466475,4.34361875469549,396.7452777777778
DoubleDQN,128,52,-2513299.777615984,4.051003149462418,389.57944444444445
DoubleDQN,128,53,-2327521.983478533,4.061291956070882,363.8798611111111
DoubleDQN,128,54,-2511688.2432222907,3.9560800131520515,388.4063888888889
DoubleDQN,128,55,-2631111.319337719,4.009717846674802,405.52930555555554
DoubleDQN,128,56,-2409569.27111898,4.210412965496644,376.76652777777775
DoubleDQN,128,57,-2611256.4898976926,3.965007143813212,402.32458333333335
DoubleDQN,128,58,-2514815.2162483023,4.018010946053874,389.46
DoubleDQN,128,59,-2534567.518523631,4.062187304188777,392.6451388888889
DoubleDQN,128,60,-1896748.388271349,4.2706474489387976,306.14375
DoubleDQN,128,61,-1892150.1661926305,4.30433109028696,305.84194444444444
DoubleDQN,128,62,-1844345.5713076724,4.369797687425512,299.8570833333333
DoubleDQN,128,63,-1627949.9076390278,4.468029128149213,270.78444444444443
DoubleDQN,128,64,-1605645.2830653905,4.521107248115125,268.21736111111113
DoubleDQN,128,65,-1987869.9900269704,4.3730418717038635,319.8234722222222
DoubleDQN,128,66,-1678491.6410218447,4.474060609848509,277.8644444444444
DoubleDQN,128,67,-1341413.2911960846,4.708801583677356,233.39541666666668
DoubleDQN,128,68,-1664505.040654888,4.406499502225033,275.24625
DoubleDQN,128,69,-1354307.9435265793,4.669236967436651,234.79069444444445
DoubleDQN,128,70,-1582273.9058663151,4.525223598543663,265.0125
DoubleDQN,128,71,-1665329.4265199692,4.515063589474329,276.44638888888886
